"","NAME","ADDRESS","CITY","COUNTY","FIPS","X","Y"
"57","RITE AID - 10817","459 SOUTH TRANSIT STREET","LOCKPORT","NIAGARA",36063,-78.6977865,43.1545013
"58","RITE AID - 1597","125 SOUTH TRANSIT STREET","LOCKPORT","NIAGARA",36063,-78.6973727,43.1641019
"59","RITE AID - 1538","731 CENTER STREET","LEWISTON","NIAGARA",36063,-79.0378914,43.1717086
"60","RITE AID - 10855","985 RIDGE ROAD","WEBSTER","MONROE",36055,-77.4600154,43.2081356
"61","TOPS","1900 CLINTON AVENUE SOUTH","ROCHESTER","MONROE",36055,-77.5921917,43.1211567
"62","CVS - 589","955 PAYNE AVENUE","NORTH TONAWANDA","NIAGARA",36063,-78.8767676,43.0506104
"63","RITE AID - 1913","214 LOCKPORT STREET","YOUNGSTOWN","NIAGARA",36063,-79.0474988,43.2510409
"64","WAL-MART SUPERCENTER - 1909","1540 MILITARY ROAD","NIAGARA FALLS","NIAGARA",36063,-78.9788989,43.0942348
"65","RITE AID - 416","151 WEST MAIN STREET","LEROY","GENESEE",36037,-78.0064815,42.9775191
"66","UPSTATE PHARMACY","40 NORTH AMERICA DRIVE","WEST SENECA","ERIE",36029,-78.7507803,42.8479947
"67","FAMILY MEDICAL PHARMACY","120 PLAZA DRIVE","WILLIAMSVILLE","ERIE",36029,-78.7409854,43.0012385
"68","UNION MEDICAL PHARMACY","1769 ORCHARD PARK ROAD","WEST SENECA","ERIE",36029,-78.756474,42.8042927
"69","AMERICAN HOMEPATIENT","435 LAWRENCE BELL DRIVE","WILLIAMSVILLE","ERIE",36029,-78.7094662,42.9522128
"70","CORAM SPECIALTY INFUSION SERVICES","375 NORTH FRENCH ROAD","AMHERST","ERIE",36029,-78.8103859,43.0340393
"71","WALGREENS - 3438","1202 PINE AVENUE","NIAGARA FALLS","NIAGARA",36063,-79.047708,43.0951286
"72","WILSON COMMUNITY PHARMACY","272 PETTIT STREET","WILSON","NIAGARA",36063,-78.8273183,43.3097597
"73","WAL-MART - 2107","5783 SOUTH TRANSIT ROAD","LOCKPORT","NIAGARA",36063,-78.6936575,43.1438428
"74","TOPS","301 MEADOW DRIVE","NORTH TONAWANDA","NIAGARA",36063,-78.8745093,43.0506858
"75","WAL-MART SUPERCENTER - 1673","4238 RECREATION DRIVE","CANANDAIGUA","ONTARIO",36069,-77.2398728,42.8762052
"76","RITE AID - 1912","3987 LOCKPORT OLCOTT ROAD","LOCKPORT","NIAGARA",36063,-78.6761468,43.2193254
"77","OMNICARE PHARMACY OF WESTERN NEW YORK","2410 NORTH AMERICA DRIVE","WEST SENECA","ERIE",36029,-78.7366112,42.8494389
"78","PHARMHEALTH INFUSION","172 ALEXANDER STREET","ROCHESTER","MONROE",36055,-77.5979947,43.1476276
"79","ASSOCIATED HEALTHCARE PHARMACY","1031 MAIN STREET","BUFFALO","ERIE",36029,-78.8686105,42.9020295
"80","WALGREENS - 10380","18 EASTERN BOULEVARD","CANANDAIGUA","ONTARIO",36069,-77.268186,42.8788959
"81","WEGMANS","3195 MONROE AVENUE","ROCHESTER","MONROE",36055,-77.5434034,43.1065462
"82","HOLLEY PHARMACY","3 GEDDES STREET EXTENSION","HOLLEY","ORLEANS",36073,-78.0229959,43.2247459
"83","WEGMANS","745 CALKINS ROAD","ROCHESTER","MONROE",36055,-77.612083,43.0670136
"84","UPSTATE HOMECARE","354 CAYUGA ROAD","BUFFALO","ERIE",36029,-78.7449046,42.9390602
"85","UNITED STATES DEPARTMENT OF VETERAN AFFAIRS ROCHESTER COMMUNITY BASED OUTPATIENT CLINIC","465 WESTFALL ROAD","ROCHESTER","MONROE",36055,-77.6063789,43.1142799
"86","CVS - 5074","100 EAST NAPLES STREET","WAYLAND","STEUBEN",36101,-77.5891216,42.5681973
"87","FARIS PHARMACY","2050 LATTA ROAD","ROCHESTER","MONROE",36055,-77.6665647,43.2537694
"88","WALGREENS - 10218","226 LIBERTY STREET","PENN YAN","YATES",36123,-77.0566585,42.6601681
"89","NIAGARA APOTHECARY HEALTH MART PHARMACY","8745 NIAGARA FALLS BOULEVARD","NIAGARA FALLS","NIAGARA",36063,-78.9614057,43.0920222
"90","RITE AID - 442","138 ELM STREET","PENN YAN","YATES",36123,-77.0554512,42.6601983
"91","METCARE RX","480 GENESEE STREET","ROCHESTER","MONROE",36055,-77.6357566,43.1406916
"92","RITE AID - 2783","281-285 MAIN STREET","GENEVA","ONTARIO",36069,-76.9846263,42.867704
"93","LIFETIME PHARMACY","2975 BRIGHTON HENRIETTA TOWN LINE ROAD","ROCHESTER","MONROE",36055,-77.5963636,43.0938625
"94","TARGET","7500 COMMONS BOULEVARD","VICTOR","ONTARIO",36069,-77.4480492,43.03399
"95","WAL-MART SUPERCENTER - 3842","425 STATE ROUTE 31","MACEDON","WAYNE",36117,-77.3579239,43.0663973
"96","WALGREENS - 11904","8 WEST MAIN STREET","LE ROY","GENESEE",36037,-77.9930246,42.9781914
"97","RITE AID - 4967","5651 WHISKEY HILL ROAD","WOLCOTT","WAYNE",36117,-76.8148727,43.2081569
"98","RITE AID - 10806","4155 WEST MAIN STREET ROAD","BATAVIA","GENESEE",36037,-78.2064928,43.006273
"99","RITE AID - 10856","4061 ROUTE 104","WILLIAMSON","WAYNE",36117,-77.1878344,43.233431
"100","BATAVIA VETERANS ADMINISTRATION MEDICAL CENTER","222 RICHMOND AVENUE","BATAVIA","GENESEE",36037,-78.1977325,43.0133612
"101","LIFETIME HEALTH MEDICAL GROUP","120 GARDENVILLE PARKWAY WEST","WEST SENECA","ERIE",36029,-78.7593907,42.8639588
"102","MEDICAL PARK PHARMACY","550 ORCHARD PARK ROAD","WEST SENECA","ERIE",36029,-78.779013,42.8333407
"103","SUMMIT PARK PHARMACY","2578 NIAGARA FALLS BOULEVARD","NIAGARA FALLS","NIAGARA",36063,-78.9074021,43.0918465
"104","WEGMANS","1577 MILITARY ROAD","NIAGARA FALLS","NIAGARA",36063,-78.9697894,43.0949671
"105","THE DRUG SHOPPE","525 DIVISION STREET","NORTH TONAWANDA","NIAGARA",36063,-78.8611937,43.0374985
"106","THE MEDICINE SHOPPE PHARMACY","1806 PINE AVENUE","NIAGARA FALLS","NIAGARA",36063,-79.0398372,43.0977702
"107","DEGRAFF MEMORIAL HOSPITAL","445 TREMONT STREET","NORTH TONAWANDA","NIAGARA",36063,-78.8622999,43.0256844
"108","RITE AID - 614","2918 DEWEY AVENUE","ROCHESTER","MONROE",36055,-77.6405945,43.2231285
"109","RITE AID - 623","1436 WEST RIDGE ROAD","ROCHESTER","MONROE",36055,-77.6648982,43.2054523
"110","WEGMANS","3175 CHILI AVENUE","ROCHESTER","MONROE",36055,-77.7441421,43.1043478
"111","WEGMANS","2833 RIDGE ROAD WEST","ROCHESTER","MONROE",36055,-77.703677,43.2080976
"112","TARGET","600 GREECE RIDGE CENTER DRIVE","ROCHESTER","MONROE",36055,-77.6922342,43.2027735
"113","RITE AID - 10832","480 EVANS STREET","WILLIAMSVILLE","ERIE",36029,-78.7403094,42.9772298
"114","RITE AID - 10846","420 HAMILTON STREET","GENEVA","ONTARIO",36069,-76.9957213,42.8580126
"115","BUFFALO PSYCHIATRIC CENTER","400 FOREST AVENUE","BUFFALO","ERIE",36029,-78.8803478,42.9292492
"116","WEGMANS","650 HYLAN DRIVE","ROCHESTER","MONROE",36055,-77.6274743,43.0834654
"117","WEGMANS","1955 EMPIRE BOULEVARD","WEBSTER","MONROE",36055,-77.504719,43.193446
"118","NAPLES PHARMACY","105 SOUTH MAIN STREET","NAPLES","ONTARIO",36069,-77.4029612,42.6150632
"119","WALGREENS - 10697","431 HAMILTON STREET","GENEVA","ONTARIO",36069,-77.0007722,42.8569787
"120","WEGMANS","2301 LYELL AVENUE","ROCHESTER","MONROE",36055,-77.6883522,43.1633615
"121","RITE AID - 10807","601 EAST MAIN STREET","BATAVIA","GENESEE",36037,-78.1628619,42.9952547
"122","OAKFIELD FAMILY PHARMACY","40 MAIN STREET","OAKFIELD","GENESEE",36037,-78.2718963,43.0673418
"123","RITE AID - 1871","40 EAST STATE STREET","MOUNT MORRIS","LIVINGSTON",36051,-77.8676759,42.7274864
"124","RITE AID - 686","9519 FOSTER WHEELER ROAD","DANSVILLE","LIVINGSTON",36051,-77.7147595,42.566986
"125","PINE PHARMACY","5110 MAIN STREET","WILLIAMSVILLE","ERIE",36029,-78.7620496,42.9604557
"126","CVS - 5073","15 HONEOYE COMMONS","HONEOYE","ONTARIO",36069,-77.5055441,42.7891334
"127","CVS - 725","465 KENMORE AVENUE","TONAWANDA","ERIE",36029,-78.8347917,42.9585946
"128","FF THOMPSON HOSPITAL","350 PARRISH STREET","CANANDAIGUA","ONTARIO",36069,-77.2901285,42.8760673
"129","ACCESS SOLUTIONS","525 AERO DRIVE","CHEEKTOWAGA","ERIE",36029,-78.7207362,42.9423395
"130","SOUTH PARK HEALTH MART PHARMACY","2707 SOUTH PARK AVENUE","BUFFALO","ERIE",36029,-78.824179,42.826345
"131","TILE PHARMACY","1031 CLEVELAND DRIVE","CHEEKTOWAGA","ERIE",36029,-78.7612709,42.9450411
"132","TOPS","150 NIAGARA STREET","TONAWANDA","ERIE",36029,-78.8844781,43.0200688
"133","RITE AID - 10816","5999 SOUTH PARK AVENUE","HAMBURG","ERIE",36029,-78.8268288,42.7337352
"134","CVS - 649","358 BUFFALO STREET","HAMBURG","ERIE",36029,-78.8261519,42.7248731
"135","RITE AID - 1962","284 CONNECTICUT STREET","BUFFALO","ERIE",36029,-78.8900902,42.9051693
"136","WALGREENS - 3270","2601 SHERIDAN DRIVE","TONAWANDA","ERIE",36029,-78.8367288,42.9802928
"137","WALGREENS - 10443","3564 DELAWARE AVENUE","KENMORE","ERIE",36029,-78.8732906,42.9814191
"138","WEGMANS","5275 SHERIDAN DRIVE","WILLIAMSVILLE","ERIE",36029,-78.7368933,42.9764779
"139","WALGREENS - 3257","1328 ABBOTT ROAD","LACKAWANNA","ERIE",36029,-78.8039884,42.828771
"140","WEGMANS","8270 TRANSIT ROAD","WILLIAMSVILLE","ERIE",36029,-78.6989917,42.9934215
"141","HIGH STREET PRESCRIPTION CENTER","100 HIGH STREET","BUFFALO","ERIE",36029,-78.8652923,42.9008745
"142","LIFETIME HEALTH PHARMACY","151 ELMVIEW AVENUE","HAMBURG","ERIE",36029,-78.8422983,42.7333382
"143","HAMBURG HEALTH MART PHARMACY","206 LAKE STREET","HAMBURG","ERIE",36029,-78.8401595,42.7226258
"144","ISLAND PRESCRIPTION CENTER","1728 GRAND ISLAND BOULEVARD","GRAND ISLAND","ERIE",36029,-78.9514851,43.0084229
"145","SOUTHTOWNS MEDICAL PHARMACY","3671 SOUTHWESTERN BOULEVARD","ORCHARD PARK","ERIE",36029,-78.7726984,42.7799722
"146","RITE AID - 568","50 SOUTH MAIN STREET","JAMESTOWN","CHAUTAUQUA",36013,-79.2387363,42.0923264
"147","RITE AID - 10820","4060 NORTH BUFFALO ROAD","ORCHARD PARK","ERIE",36029,-78.7473371,42.7718738
"148","TARGET","2161 NORTH NINE MILE POINT ROAD","FAIRPORT","MONROE",36055,-77.4438875,43.1281308
"149","CHURCHVILLE PHARMACY","42 SOUTH MAIN STREET","CHURCHVILLE","MONROE",36055,-77.8842715,43.102865
"150","CVS - 2218","3750 MOUNT READ BOULEVARD","ROCHESTER","MONROE",36055,-77.6583309,43.2272405
"151","CVS - 753","2300 EAST MAIN STREET","ROCHESTER","MONROE",36055,-77.5489199,43.1598093
"152","WALGREENS - 11208","3127 CHILI AVENUE","ROCHESTER","MONROE",36055,-77.7435329,43.1077548
"153","WALGREENS - 9584","1650 ELMWOOD AVENUE","ROCHESTER","MONROE",36055,-77.5934175,43.126233
"154","ROCHESTER PSYCHIATRIC CENTER","1111 ELMWOOD AVENUE","ROCHESTER","MONROE",36055,-77.6103463,43.1229598
"155","CVS - 1142","1900 EMPIRE BOULEVARD","WEBSTER","MONROE",36055,-77.5013647,43.1912294
"156","TARGET","2325 MARKETPLACE DRIVE","ROCHESTER","MONROE",36055,-77.6324233,43.0779414
"157","WAL-MART SUPERCENTER - 3280","1490 HUDSON AVENUE","ROCHESTER","MONROE",36055,-77.5967913,43.1943027
"158","RITE AID - 10839","1020 PORTAGE ROAD","NIAGARA FALLS","NIAGARA",36063,-79.0521004,43.0989319
"159","CVS - 577","2972 SAUNDERS SETTLEMENT ROAD","SANBORN","NIAGARA",36063,-78.8835472,43.1421468
"160","RITE AID - 3500","3636 RANSOMVILLE ROAD","RANSOMVILLE","NIAGARA",36063,-78.9101593,43.2379021
"161","TARGET","7414 NIAGARA FALLS BOULEVARD","NIAGARA FALLS","NIAGARA",36063,-78.9793238,43.0902076
"162","WALGREENS - 12117","1066 PAYNE AVENUE","NORTH TONAWANDA","NIAGARA",36063,-78.8790756,43.0516137
"163","KMART","810 PAUL ROAD","ROCHESTER","MONROE",36055,-77.7471642,43.1085557
"164","TOPS","7200 NIAGARA FALLS BOULEVARD","NIAGARA FALLS","NIAGARA",36063,-78.9824428,43.0901587
"165","COMMUNITY MEDICAL PHARMACY","918 MICHIGAN AVENUE","NIAGARA FALLS","NIAGARA",36063,-79.0522405,43.1047975
"166","LOCKPORT APOTHECARY HEALTH MART PHARMACY","6606 LINCOLN AVENUE","LOCKPORT","NIAGARA",36063,-78.6672687,43.1525773
"167","RITE AID - 1722","670 THURSTON ROAD","ROCHESTER","MONROE",36055,-77.6505983,43.1316152
"168","RITE AID - 3597","535 PORTLAND AVENUE","ROCHESTER","MONROE",36055,-77.5914575,43.1758289
"169","RITE AID - 615","792 WEST MAIN STREET","ROCHESTER","MONROE",36055,-77.6340623,43.1510076
"170","RITE AID - 621","804 NORTH GOODMAN STREET","ROCHESTER","MONROE",36055,-77.5789537,43.1689562
"171","RED JACKET PHARMACY","113 SOUTH MAIN STREET","MANCHESTER","ONTARIO",36069,-77.2296416,42.9609127
"172","ELDERWOOD HEALTH CARE AT CRESTWOOD","2600 NIAGARA FALLS BOULEVARD","NIAGARA FALLS","NIAGARA",36063,-78.9072513,43.0896662
"173","METRO HEALTH EAST PHARMACY","153 WEST COMMERCIAL STREET","EAST ROCHESTER","MONROE",36055,-77.487061,43.1137687
"174","WALGREENS - 9992","1659 PENFIELD ROAD","ROCHESTER","MONROE",36055,-77.4920369,43.1323117
"175","DRUG SHOPPE PHARMACY","416 KENMORE AVENUE","BUFFALO","ERIE",36029,-78.8353686,42.9579647
"176","TOPS","1460 SOUTH PARK AVENUE","BUFFALO","ERIE",36029,-78.8301974,42.8585479
"177","TOPS","2130 GRAND ISLAND BOULEVARD","GRAND ISLAND","ERIE",36029,-78.9630769,43.0195892
"178","TOPS","6363 TRANSIT ROAD","DEPEW","ERIE",36029,-78.6943267,42.9306611
"179","WALGREENS - 12408","2970 NIAGARA FALLS BOULEVARD","AMHERST","ERIE",36029,-78.8236791,43.0352996
"180","TARGET","4920 TRANSIT ROAD","DEPEW","ERIE",36029,-78.698965,42.8788735
"181","WAL-MART SUPERCENTER - 2785","441 COMMERCE DRIVE","VICTOR","ONTARIO",36069,-77.4363656,43.0159442
"182","RITE AID - 10809","4900 BROADWAY","DEPEW","ERIE",36029,-78.6937095,42.9021395
"183","CHILDRENS HOME CARE PHARMACY","219 BRYANT STREET","BUFFALO","ERIE",36029,-78.8750242,42.9092417
"184","RITE AID - 1674","3950 UNION ROAD","CHEEKTOWAGA","ERIE",36029,-78.7547085,42.9214006
"185","CATHOLIC HEALTH INFUSION PHARMACY","6350 TRANSIT ROAD","DEPEW","ERIE",36029,-78.6982243,42.9292376
"186","RITE AID - 1677","476 WILLIAM STREET","BUFFALO","ERIE",36029,-78.8533213,42.8856174
"187","SOUTH SENECA PHARMACY","7115 NORTH MAIN STREET","OVID","SENECA",36099,-76.8206477,42.6794967
"188","RITE AID - 2448","1070 GENESEE STREET","BUFFALO","ERIE",36029,-78.8385482,42.9030647
"189","UPSTATE HOMECARE","200 AIRPARK DRIVE","ROCHESTER","MONROE",36055,-77.6578851,43.1154118
"190","RITE AID - 3521","1410 DELAWARE AVENUE","BUFFALO","ERIE",36029,-78.8677103,42.9227591
"191","METCARE RX","322 LAKE AVENUE","ROCHESTER","MONROE",36055,-77.6269284,43.1711749
"192","WALGREENS - 3267","2043 KENSINGTON AVENUE","AMHERST","ERIE",36029,-78.782792,42.949945
"193","QUINLAN'S PHARMACY AND MEDICAL SUPPLY","107 NORTH MAIN STREET","WAYLAND","STEUBEN",36101,-77.5919485,42.5689902
"194","RITE AID - 10827","2585 MAIN STREET","BUFFALO","ERIE",36029,-78.8396498,42.9380013
"195","RITE AID - 10849","135 EAST UNION STREET","NEWARK","WAYNE",36117,-77.0939519,43.0464362
"196","BUFFALO PHARMACIES","1479 KENSINGTON AVENUE","BUFFALO","ERIE",36029,-78.8017127,42.9425541
"197","CVS - 5078","34 WEST MAIN STREET","SODUS","WAYNE",36117,-77.0631798,43.2367952
"198","RITE AID - 10831","8530 TRANSIT ROAD","AMHERST","ERIE",36029,-78.6979892,42.9994122
"199","RITE AID - 10851","1250 ROUTE 104","ONTARIO","WAYNE",36117,-77.320192,43.225541
"200","RITE AID - 763","4220 DELAWARE AVENUE","TONAWANDA","ERIE",36029,-78.8757073,42.9992062
"201","SINCLAIR PHARMACY","75 NORTH MAIN STREET","WARSAW","WYOMING",36121,-78.1328628,42.7414555
"202","RITE AID - 10821","47 NIAGARA STREET","TONAWANDA","ERIE",36029,-78.8796883,43.0201566
"203","RITE AID - 782","128 NORTH CENTER STREET","PERRY","WYOMING",36121,-78.0048992,42.7265102
"204","TOPS - 566","321 LIBERTY STREET","PENN YAN","YATES",36123,-77.0564799,42.6621731
"205","RITE AID - 10822","2330 NIAGARA FALLS BOULEVARD","TONAWANDA","ERIE",36029,-78.8229299,43.0174527
"206","WYOMING REXALL DRUG","91 NORTH MAIN STREET","WARSAW","WYOMING",36121,-78.1328924,42.7417543
"207","WEGMANS","675 ALBERTA DRIVE","AMHERST","ERIE",36029,-78.8159279,42.9894809
"208","WAYNE-CLIFTON PHARMACY","4 COULTER ROAD","CLIFTON SPRINGS","ONTARIO",36069,-77.1363062,42.9598125
"209","MILLERS PHARMACY","6181 STATE ROUTE 96","FARMINGTON","ONTARIO",36069,-77.3624783,42.9730924
"210","MEAD SQUARE PHARMACY","53 WEST MAIN STREET","VICTOR","ONTARIO",36069,-77.4118937,42.9824483
"211","2121 MAIN STREET PHARMACY","247 CAYUGA ROAD","CHEEKTOWAGA","ERIE",36029,-78.743506,42.9350351
"212","FAIRPORT BAPTIST HOMES","4646 NINE MILE POINT ROAD","FAIRPORT","MONROE",36055,-77.441183,43.1094276
"213","12 CORNERS APOTHECARY","1832 MONROE AVENUE","ROCHESTER","MONROE",36055,-77.5662103,43.1282143
"214","CVS - 762","2000 KENSINGTON AVENUE","AMHERST","ERIE",36029,-78.7851879,42.9498814
"215","RITE AID - 665","1422 SOUTH MAIN STREET","MEDINA","ORLEANS",36073,-78.3882019,43.2076822
"216","TOPS","425 NIAGARA STREET","BUFFALO","ERIE",36029,-78.8865291,42.8962933
"217","HENDERSON'S DRUG STORE","126 MAIN STREET","PENN YAN","YATES",36123,-77.0544248,42.6615611
"218","RITE AID - 10754","1963 ROUTE 5 AND 20","WATERLOO","SENECA",36099,-76.8345234,42.9043388
"219","WALGREENS - 9939","709 WEST UNION STREET","NEWARK","WAYNE",36117,-77.1125697,43.0472553
"220","RITE AID - 2756","35 FORGHAM STREET","LYONS","WAYNE",36117,-76.9959965,43.0591991
"221","WEGMANS","800 WEST MILLER STREET","NEWARK","WAYNE",36117,-77.1136764,43.0451596
"222","WAL-MART - 2043","2348 ROUTE 19 NORTH","WARSAW","WYOMING",36121,-78.1282803,42.7672647
"223","ATTICA CORRECTIONAL FACILITY","639 EXCHANGE STREET","ATTICA","WYOMING",36121,-78.2739275,42.8494078
"224","OMNICARE","175 HUMBOLDT STREET","ROCHESTER","MONROE",36055,-77.5644587,43.1535829
"225","DEXTER DRUGS CENTER","1453 JEFFERSON AVENUE","BUFFALO","ERIE",36029,-78.8537532,42.9147368
"226","CVS - 618","4968 HARLEM ROAD","AMHERST","ERIE",36029,-78.7849756,42.9777876
"227","SHOPPERS PRESCRIPTION CENTER","956 ABBOTT ROAD","BUFFALO","ERIE",36029,-78.8073085,42.8383083
"228","TOPS","9660 TRANSIT ROAD","EAST AMHERST","ERIE",36029,-78.6990857,43.0328199
"229","TOPS","1740 SHERIDAN DRIVE","BUFFALO","ERIE",36029,-78.8706814,42.9824536
"230","RITE AID - 10810","6939 ERIE ROAD","DERBY","ERIE",36029,-78.9882039,42.6967762
"231","CVS - 282","1678 HERTEL AVENUE","BUFFALO","ERIE",36029,-78.8459706,42.947949
"232","CVS - 274","360 DINGENS STREET","BUFFALO","ERIE",36029,-78.8024667,42.8783422
